Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
6819;6686;6673;6612;6576;6576;6480
7497;7341;7318;7203;7168;7168;7082
10036;9794;9777;9722;9654;9654;9560
7098;6959;6945;6840;6805;6805;6721
20332;17809;17745;17537;17395;17395;9206
9152;8960;8923;8817;8774;8774;8696
6971;6823;6813;6768;6728;6728;6636
8539;8372;8355;8297;8258;8258;8176
6666;6520;6507;6452;6411;6411;6311
7975;7706;7689;7689;7635;7635;7298
5684;5440;5426;5321;5286;5286;5196
9688;9428;9415;9323;9270;9270;9188
10110;9866;9849;9794;9728;9728;9642
8775;8605;8582;8514;8471;8471;8395
8031;7862;7852;7759;7722;7722;7626
12230;11936;11913;11707;11666;11666;11572
18262;17997;17987;17987;17947;17947;17853
10692;10485;10458;10458;10405;10405;10315
28381;25809;25781;25668;25602;25602;17741
20355;17832;17768;17560;17416;17416;9226
36868;35547;35138;35138;34451;34451;28908
9357;9189;9172;9113;9061;9061;8977
9516;9342;9329;9223;9171;9171;9085
27445;21663;21609;17887;17793;17793;8204
9361;9088;9071;9016;8949;8949;8871
10269;10049;10031;9805;9763;9763;9681
6192;6054;6037;5948;5864;5864;5774
6439;6278;6268;6149;6067;6067;5977
7827;7670;7647;7577;7536;7536;7454
7193;7056;7039;6980;6937;6937;6845
9861;9621;9604;9549;9483;9483;9411
7630;7489;7465;7444;7398;7398;7316
10732;10524;10497;10497;10444;10444;10372
9343;9109;9092;9041;8974;8974;8896
8006;7836;7826;7789;7740;7740;7654
8307;8131;8104;8030;7982;7982;7882
13215;13019;13009;13009;12974;12974;12820
7924;7754;7737;7644;7596;7596;7508
12442;12116;12093;11728;11675;11675;11583
7222;7065;7052;6983;6938;6938;6844
6254;6118;6095;6067;5970;5970;5874
22509;12423;12391;9980;9933;9933;3576
8566;8398;8385;8289;8257;8257;8191
10659;10410;10392;10392;10349;10349;10267
5831;5717;5707;5669;5634;5634;5538
7265;7090;7077;6937;6885;6885;6797
20719;18193;18122;17953;17791;17791;9622
18282;17836;17826;17183;17124;17124;17028
24626;16147;16091;15555;15438;15438;6647
6633;6474;6464;6248;6196;6196;6114
8311;8120;8107;8020;7979;7979;7879
8618;8432;8395;8295;8252;8252;8178
7384;7231;7215;7130;7101;7101;7035
7969;7788;7775;7724;7681;7681;7582
8128;7953;7932;7792;7747;7747;7637
30856;29979;29876;29876;29645;29645;27829
7930;7759;7742;7649;7610;7610;7528
27716;26695;26595;26595;26480;26480;26412
11472;11208;11146;10471;10410;10410;10216
20254;19821;19801;19801;19706;19706;19604
9156;8963;8926;8826;8783;8783;8705
11979;11719;11684;11684;11585;11585;11497
14688;14358;14340;14206;14138;14138;14058
7426;7245;7221;7166;7071;7071;7007
7470;7287;7277;7155;7115;7115;7025
14668;14338;14320;14186;14118;14118;14038
8008;7853;7826;7767;7727;7727;7649
6707;6560;6546;6491;6450;6450;6364
20747;18220;18149;17980;17821;17821;9857
7211;7040;7011;6968;6924;6924;6858
7307;7069;7016;6928;6871;6871;6777
8668;8479;8463;8305;8267;8267;8177
8447;8235;8218;8218;8169;8169;8099
7285;7161;7151;7151;7112;7112;6971
20746;18219;18148;17979;17820;17820;9856
10557;10357;10334;10334;10281;10281;10203
17041;15245;15204;15059;14963;14963;6212
